Name,Team,Number,Position,Age,Height,Weight,College,Salary
Nikola Mirotic,Chicago Bulls,44,PF,25,171,220,nan,5543725.0
E'Twaun Moore,Chicago Bulls,55,SG,27,151,191,Purdue,1015421.0
Joakim Noah,Chicago Bulls,13,C,31,165,232,Florida,13400000.0
Bobby Portis,Chicago Bulls,5,PF,21,174,230,Arkansas,1391160.0
Derrick Rose,Chicago Bulls,1,PG,27,170,190,Memphis,20093064.0
Tony Snell,Chicago Bulls,20,SF,24,151,200,New Mexico,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,171,198,Saint Mary's,1147276.0
Channing Frye,Cleveland Cavaliers,9,PF,33,168,255,Arizona,8193029.0
Kyrie Irving,Cleveland Cavaliers,2,PG,24,176,193,Duke,16407501.0
LeBron James,Cleveland Cavaliers,23,SF,31,167,250,nan,22970500.0
Richard Jefferson,Cleveland Cavaliers,24,SF,35,150,233,Arizona,947276.0
James Jones,Cleveland Cavaliers,1,SG,35,155,218,Miami (FL),947276.0
Sasha Kaun,Cleveland Cavaliers,14,C,31,151,260,Kansas,1276000.0
Kevin Love,Cleveland Cavaliers,0,PF,27,177,251,UCLA,19689000.0
Jordan McRae,Cleveland Cavaliers,12,SG,25,158,179,Tennessee,111196.0
Timofey Mozgov,Cleveland Cavaliers,20,C,29,155,275,nan,4950000.0
Iman Shumpert,Cleveland Cavaliers,4,SG,25,176,220,Georgia Tech,8988765.0
J.R. Smith,Cleveland Cavaliers,5,SG,30,153,225,nan,5000000.0
Tristan Thompson,Cleveland Cavaliers,13,C,25,168,238,Texas,14260870.0
Mo Williams,Cleveland Cavaliers,52,PG,33,175,198,Alabama,2100000.0
Joel Anthony,Detroit Pistons,50,C,33,159,245,UNLV,2500000.0
Aron Baynes,Detroit Pistons,12,C,29,160,260,Washington State,6500000.0
Steve Blake,Detroit Pistons,22,PG,36,163,172,Maryland,2170465.0
Lorenzo Brown,Detroit Pistons,17,PG,25,153,189,North Carolina State,111444.0
Reggie Bullock,Detroit Pistons,25,SF,25,178,205,North Carolina,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,174,205,Georgia,2891760.0
Spencer Dinwiddie,Detroit Pistons,8,PG,23,177,200,Colorado,845059.0
Andre Drummond,Detroit Pistons,0,C,22,158,279,Connecticut,3272091.0
Tobias Harris,Detroit Pistons,34,SF,23,176,235,Tennessee,16000000.0
Darrun Hilliard,Detroit Pistons,6,SF,23,174,205,Villanova,600000.0
Reggie Jackson,Detroit Pistons,1,PG,26,161,208,Boston College,13913044.0
Stanley Johnson,Detroit Pistons,3,SF,20,151,245,Arizona,2841960.0
Jodie Meeks,Detroit Pistons,20,SG,28,151,210,Kentucky,6270000.0
Marcus Morris,Detroit Pistons,13,PF,26,152,235,Kansas,5000000.0
Anthony Tolliver,Detroit Pistons,43,PF,31,156,240,Creighton,3000000.0
Lavoy Allen,Indiana Pacers,5,PF,27,152,255,Temple,4050000.0
Rakeem Christmas,Indiana Pacers,25,PF,24,180,250,Syracuse,1007026.0
Monta Ellis,Indiana Pacers,11,SG,30,159,185,nan,10300000.0
Paul George,Indiana Pacers,13,SF,26,157,220,Fresno State,17120106.0
George Hill,Indiana Pacers,3,PG,30,164,188,IUPUI,8000000.0
Jordan Hill,Indiana Pacers,27,C,28,175,235,Arizona,4000000.0
Solomon Hill,Indiana Pacers,44,SF,25,156,225,Arizona,1358880.0
Ty Lawson,Indiana Pacers,10,PG,28,166,195,North Carolina,211744.0
Ian Mahinmi,Indiana Pacers,28,C,29,171,250,nan,4000000.0
C.J. Miles,Indiana Pacers,0,SF,29,163,231,nan,4394225.0
Glenn Robinson III,Indiana Pacers,40,SG,22,179,222,Michigan,1100000.0
Rodney Stuckey,Indiana Pacers,2,PG,30,163,205,Eastern Washington,7000000.0
Myles Turner,Indiana Pacers,33,PF,20,169,243,Texas,2357760.0
Shayne Whittington,Indiana Pacers,42,PF,25,176,250,Western Michigan,845059.0
Joe Young,Indiana Pacers,1,PG,23,158,180,Oregon,1007026.0
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,160,222,nan,1953960.0
Jerryd Bayless,Milwaukee Bucks,19,PG,27,171,200,Arizona,3000000.0
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,180,190,Syracuse,2399040.0
Jared Cunningham,Milwaukee Bucks,9,SG,25,166,195,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,11,PG,21,154,194,Syracuse,1662360.0
John Henson,Milwaukee Bucks,31,PF,25,152,229,North Carolina,2943221.0
Damien Inglis,Milwaukee Bucks,17,SF,21,157,246,nan,855000.0
O.J. Mayo,Milwaukee Bucks,3,SG,28,170,210,USC,8000000.0
Khris Middleton,Milwaukee Bucks,22,SG,24,158,234,Texas A&M,14700000.0
Greg Monroe,Milwaukee Bucks,15,C,26,167,265,Georgetown,16407500.0
Steve Novak,Milwaukee Bucks,6,SF,32,172,225,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,176,257,LSU,845059.0
Jabari Parker,Milwaukee Bucks,12,PF,21,164,250,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,18,C,27,159,249,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,21,PG,29,175,217,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,20,SG,19,176,202,UNLV,1733040.0
Justin Anderson,Dallas Mavericks,1,SG,22,158,228,Virginia,1449000.0
J.J. Barea,Dallas Mavericks,5,PG,31,178,185,Northeastern,4290000.0
Jeremy Evans,Dallas Mavericks,21,SF,28,160,200,Western Kentucky,1100602.0
Raymond Felton,Dallas Mavericks,2,PG,31,158,205,North Carolina,3950313.0
Devin Harris,Dallas Mavericks,34,PG,33,164,185,Wisconsin,4053446.0
David Lee,Dallas Mavericks,42,PF,33,178,245,Florida,2085671.0
Wesley Matthews,Dallas Mavericks,23,SG,29,169,220,Marquette,16407500.0
JaVale McGee,Dallas Mavericks,11,C,28,156,270,Nevada,1270964.0
Salah Mejri,Dallas Mavericks,50,C,29,168,245,nan,525093.0
Dirk Nowitzki,Dallas Mavericks,41,PF,37,157,245,nan,8333334.0
Zaza Pachulia,Dallas Mavericks,27,C,32,150,275,nan,5200000.0
Chandler Parsons,Dallas Mavericks,25,SF,27,168,230,Florida,15361500.0
Dwight Powell,Dallas Mavericks,7,PF,24,174,240,Stanford,845059.0
Charlie Villanueva,Dallas Mavericks,3,PF,31,176,232,Connecticut,947276.0
Deron Williams,Dallas Mavericks,8,PG,31,161,200,Illinois,5378974.0
Trevor Ariza,Houston Rockets,1,SF,30,158,215,UCLA,8193030.0
Michael Beasley,Houston Rockets,8,SF,27,154,235,Kansas State,306527.0
Patrick Beverley,Houston Rockets,2,PG,27,162,185,Arkansas,6486486.0
Corey Brewer,Houston Rockets,33,SG,30,154,186,Florida,8229375.0
Clint Capela,Houston Rockets,15,PF,22,178,240,nan,1242720.0
Sam Dekker,Houston Rockets,7,SF,22,159,230,Wisconsin,1646400.0
Andrew Goudelock,Houston Rockets,0,PG,27,152,200,Charleston,200600.0
James Harden,Houston Rockets,13,SG,26,153,220,Arizona State,15756438.0
Montrezl Harrell,Houston Rockets,35,PF,22,152,240,Louisville,1000000.0
Dwight Howard,Houston Rockets,12,C,30,172,265,nan,22359364.0
Terrence Jones,Houston Rockets,6,PF,24,155,252,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,32,SG,23,175,205,Clemson,3189794.0
Donatas Motiejunas,Houston Rockets,20,PF,25,170,222,nan,2288205.0
Josh Smith,Houston Rockets,5,C,30,154,225,nan,947276.0
Jason Terry,Houston Rockets,31,SG,38,175,185,Arizona,947276.0
Jordan Adams,Memphis Grizzlies,3,SG,21,170,209,UCLA,1404600.0
Tony Allen,Memphis Grizzlies,9,SG,34,179,213,Oklahoma State,5158539.0
Chris Andersen,Memphis Grizzlies,7,PF,37,152,245,Blinn College,5000000.0
Matt Barnes,Memphis Grizzlies,22,SF,36,177,226,UCLA,3542500.0
Vince Carter,Memphis Grizzlies,15,SG,39,175,220,North Carolina,4088019.0
Mike Conley,Memphis Grizzlies,11,PG,28,174,175,Ohio State,9588426.0
Bryce Cotton,Memphis Grizzlies,8,PG,23,160,165,Providence,700902.0
Marc Gasol,Memphis Grizzlies,33,C,31,157,255,nan,19688000.0
JaMychal Green,Memphis Grizzlies,0,PF,25,169,227,Alabama,845059.0
P.J. Hairston,Memphis Grizzlies,19,SF,23,174,230,North Carolina,1201440.0
Jarell Martin,Memphis Grizzlies,10,PF,22,168,239,LSU,1230840.0
Zach Randolph,Memphis Grizzlies,50,PF,34,157,260,Michigan State,9638555.0
Lance Stephenson,Memphis Grizzlies,1,SF,25,173,230,Cincinnati,9000000.0
Brandan Wright,Memphis Grizzlies,34,PF,28,177,210,North Carolina,5464000.0
Alexis Ajinca,New Orleans Pelicans,42,C,28,163,248,nan,4389607.0
Ryan Anderson,New Orleans Pelicans,33,PF,28,158,240,California,8500000.0
Omer Asik,New Orleans Pelicans,3,C,29,165,255,nan,9213483.0
Luke Babbitt,New Orleans Pelicans,8,SF,26,159,225,Nevada,1100602.0
Norris Cole,New Orleans Pelicans,30,PG,27,169,175,Cleveland State,3036927.0
Dante Cunningham,New Orleans Pelicans,44,PF,29,162,230,Villanova,2850000.0
Anthony Davis,New Orleans Pelicans,23,PF,23,153,253,Kentucky,7070730.0
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,165,203,Iowa State,169883.0
Toney Douglas,New Orleans Pelicans,16,PG,30,177,195,Florida State,1164858.0
James Ennis,New Orleans Pelicans,4,SF,25,153,210,Long Beach State,845059.0
Tyreke Evans,New Orleans Pelicans,1,SG,26,161,220,Memphis,10734586.0
Tim Frazier,New Orleans Pelicans,2,PG,25,159,170,Penn State,845059.0
Alonzo Gee,New Orleans Pelicans,15,SF,29,154,225,Alabama,1320000.0
Eric Gordon,New Orleans Pelicans,10,SG,27,180,215,Indiana,15514031.0
Jordan Hamilton,New Orleans Pelicans,25,SG,25,164,220,Texas,1015421.0
Jrue Holiday,New Orleans Pelicans,11,PG,25,176,205,UCLA,10595507.0
Orlando Johnson,New Orleans Pelicans,0,SG,27,159,220,UC Santa Barbara,55722.0
Kendrick Perkins,New Orleans Pelicans,5,C,31,164,270,nan,947276.0
Quincy Pondexter,New Orleans Pelicans,20,SF,28,173,220,Washington,3382023.0
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,178,240,Texas,19689000.0
Kyle Anderson,San Antonio Spurs,1,SF,22,164,230,UCLA,1142880.0
Matt Bonner,San Antonio Spurs,15,C,36,177,235,Florida,947276.0
Boris Diaw,San Antonio Spurs,33,C,34,157,250,nan,7500000.0
Tim Duncan,San Antonio Spurs,21,C,40,157,250,Wake Forest,5250000.0
Manu Ginobili,San Antonio Spurs,20,SG,38,152,205,nan,2814000.0
Danny Green,San Antonio Spurs,14,SG,28,155,215,North Carolina,10000000.0
Kawhi Leonard,San Antonio Spurs,2,SF,24,162,230,San Diego State,16407500.0
Boban Marjanovic,San Antonio Spurs,40,C,27,168,290,nan,1200000.0
Kevin Martin,San Antonio Spurs,23,SG,33,174,199,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,24,PG,40,157,200,Utah,250750.0
Patty Mills,San Antonio Spurs,8,PG,27,164,185,Saint Mary's,3578947.0
Tony Parker,San Antonio Spurs,9,PG,34,153,185,nan,13437500.0
Jonathon Simmons,San Antonio Spurs,17,SG,26,151,195,Houston,525093.0
David West,San Antonio Spurs,30,PF,35,150,250,Xavier,1499187.0
Kent Bazemore,Atlanta Hawks,24,SF,26,155,201,Old Dominion,2000000.0
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,156,205,Michigan,1304520.0
Kirk Hinrich,Atlanta Hawks,12,SG,35,177,190,Kansas,2854940.0
Al Horford,Atlanta Hawks,15,C,30,161,245,Florida,12000000.0
Kris Humphries,Atlanta Hawks,43,PF,31,168,235,Minnesota,1000000.0
Kyle Korver,Atlanta Hawks,26,SG,35,175,212,Creighton,5746479.0
Paul Millsap,Atlanta Hawks,4,PF,31,165,246,Louisiana Tech,18671659.0
Mike Muscala,Atlanta Hawks,31,PF,24,178,240,Bucknell,947276.0
Lamar Patterson,Atlanta Hawks,13,SG,24,162,225,Pittsburgh,525093.0
Dennis Schroder,Atlanta Hawks,17,PG,22,151,172,nan,1763400.0
Mike Scott,Atlanta Hawks,32,PF,27,168,237,Virginia,3333333.0
Thabo Sefolosha,Atlanta Hawks,25,SF,32,174,220,nan,4000000.0
Tiago Splitter,Atlanta Hawks,11,C,31,178,245,nan,9756250.0
Walter Tavares,Atlanta Hawks,22,C,24,155,260,nan,1000000.0
Jeff Teague,Atlanta Hawks,0,PG,27,173,186,Wake Forest,8000000.0
Nicolas Batum,Charlotte Hornets,5,SG,27,171,200,nan,13125306.0
Troy Daniels,Charlotte Hornets,30,SG,24,172,205,Virginia Commonwealth,947276.0
Jorge Gutierrez,Charlotte Hornets,12,PG,27,174,189,California,189455.0
Tyler Hansbrough,Charlotte Hornets,50,PF,30,167,250,North Carolina,947276.0
Aaron Harrison,Charlotte Hornets,9,SG,21,158,210,Kentucky,525093.0
Spencer Hawes,Charlotte Hornets,0,PF,28,154,245,Washington,6110034.0
Al Jefferson,Charlotte Hornets,25,C,31,164,289,nan,13500000.0
Frank Kaminsky III,Charlotte Hornets,44,C,23,164,240,Wisconsin,2612520.0
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,172,232,Kentucky,6331404.0
Jeremy Lamb,Charlotte Hornets,3,SG,24,176,185,Connecticut,3034356.0
Courtney Lee,Charlotte Hornets,1,SG,30,156,200,Western Kentucky,5675000.0
Jeremy Lin,Charlotte Hornets,7,PG,27,152,200,Harvard,2139000.0
Kemba Walker,Charlotte Hornets,15,PG,26,168,184,Connecticut,12000000.0
Marvin Williams,Charlotte Hornets,2,PF,29,173,237,North Carolina,7000000.0
Cody Zeller,Charlotte Hornets,40,C,23,163,240,Indiana,4204200.0
Chris Bosh,Miami Heat,1,PF,32,179,235,Georgia Tech,22192730.0
Luol Deng,Miami Heat,9,SF,31,167,220,Duke,10151612.0
Goran Dragic,Miami Heat,7,PG,30,159,190,nan,14783000.0
Gerald Green,Miami Heat,14,SF,30,162,205,nan,947276.0
Udonis Haslem,Miami Heat,40,PF,36,150,235,Florida,2854940.0
Joe Johnson,Miami Heat,2,SF,34,167,240,Arkansas,261894.0
Tyler Johnson,Miami Heat,8,SG,24,165,186,Fresno State,845059.0
Josh McRoberts,Miami Heat,4,PF,29,166,240,Duke,5543725.0
Josh Richardson,Miami Heat,0,SG,22,173,200,Tennessee,525093.0
Amar'e Stoudemire,Miami Heat,5,PF,33,158,245,nan,947276.0
Dwyane Wade,Miami Heat,3,SG,34,152,220,Marquette,20000000.0
Hassan Whiteside,Miami Heat,21,C,26,158,265,Marshall,981348.0
Justise Winslow,Miami Heat,20,SF,20,151,225,Duke,2481720.0
Dewayne Dedmon,Orlando Magic,3,C,26,162,245,USC,947276.0
Evan Fournier,Orlando Magic,10,SG,23,159,205,nan,2288205.0
Aaron Gordon,Orlando Magic,0,PF,20,180,220,Arizona,4171680.0
Mario Hezonja,Orlando Magic,23,SG,21,167,218,nan,3741480.0
